content	genre	release_year	title	country	len_plot
Set in early 20th century New England the film is about a serial killer who is murdering disabled young women in the community. His next victim apparently is Helen she is a mute girl working as a livein companion for the wealthy bedridden Mrs. Warren who urges her to leave the house as does Dr. Parry who knows the reason for Helen's loss of speech and hopes to help her get her voice back. Rounding out the household are Mrs. Warren's son and stepson her verballyabused nurse a secretary a handyman and his wife a housekeeper with a taste for brandy.	thriller	1946.0	The Spiral Staircase	"{""/m/09c7w0"": ""United States of America""}"	132
Safedesigner Richard Logan  comes to consciousness on a patch of waste ground with no recollection of how he came to be there. Assuming he must have been attacked and hit over the head but feeling no apparent illeffects he returns home to wife Julie  to apologise for being late and tell his story. He is astonished to learn from Julie that he has been missing not for a few hours but for three weeks. Furthermore a troubling series of events has occurred during his absence which appear to point to his involvement in criminal activity. A safe which he personally installed in a large house has been robbed and its contents stolen with no explanation as to how its supposedly foolproof security mechanisms were so easily overridden. In an attempt to trace her missing husband Julie has employed a private detective who discovered evidence implicating Richard of involvement with another woman and more seriously the private detective has recently been found murdered. Richard enlists Julie's help in trying to recover his memory of the peculiar goingson of which he has no recollection. He soon becomes aware that he is being trailed by a group of mysterious men. Meanwhile in his confused mental state he is constantly tantalised by seemingly random and trivial things – a snatch of a popular song or a conversational nuance – which seem to strike a chord with him for reasons for which he cannot account. He starts to experience flashbacks so momentary and fleeting that they are gone before his conscious mind can seize them. He begins to question the validity of the assumptions under which he is working wondering if he may indeed have been involved in criminal activity which his mind has blocked out as a defence mechanism and even begins to doubt Julie's integrity questioning whether she may have far more knowledge of and personal involvement in what has been happening than she is letting on. Matters reach a head when he is lured to a country house and confronts a group of men in possession of a bomb. The resulting intrigue finally appears to jolt his memory back into place and he believes he has found the explanation for what has been going on.	thriller	1961.0	Pit of Darkness	British	431
Browne is the wealthy reclusive man who enjoys hunting down human beings like wild game. In this adaptation Browne is transformed into a British traitor hiding in the Mexican jungle with his fellow Nazi war criminal and brotherinlaw Colonel Von Andre . When their plane is forced to land in Browne's domain writer Mike Latimer and reporter Katy Conners are welcomed as guests. However when Latimer finally recognizes his host and realizes he and Katy are in danger he and Katy escape to the jungle with Browne and Von Andre in hot pursuit with their hunting dogs.	thriller	1956.0	Run for the Sun	"{""/m/09c7w0"": ""United States of America""}"	119
The film starts in San Diego. Lew finds out that his wife is having an affair with another man. He grabs his gun and goes to seek revenge but finds both of them dead in the bed. He fears that the police would suspect him because he has had a bad past so he dumps the bodies and his gun in the sea along with his boat. He leaves for a new life. Lew starts a new life working as a sign board maker and gets a new girlfriend Rita . One evening while erecting a signboard on the side of a road he overhears Isobel and Ralph discussing the kidnapping and murder plot of Ralph's wife Florence . He soon plots his own plan to pinch the ransom. At the same time Herbert  brother of the man Lew's wife had affair with comes following Lew thinking that Lew murdered his brother. Ralph kidnaps his wife Florence with the help of his girlfriend Isobel and keeps her in a boat. Lew has been following them and takes Florence away from the boat. Then he phones Ralph anonymously threatening to call police unless he cuts him in for half the ransom money. Ralph agrees. Ralph and Isobel suspect that it is Florence who has some accomplice of her own and is blackmailing them. Lew sends Rita to get the money from Ralph. But Lew's plans turns awry when Herbert interrupts and kills Florence. When Rita comes back she finds Herbert struggling with Lew and shoots him dead. She later finds that the money she brought from Ralph is fake. Lew goes to Isobel and Ralph to ask them about the real money. In the meanwhile Rita tips the police. Soon police comes and arrests Lew Ralph and Isobel. Lew is released on the verdict of Rita who had hidden the real money herself.	thriller	2004.0	Three Way	"{""/m/09c7w0"": ""United States of America""}"	363
Modesty Blaise is working as a croupier in a casino in Tangier. A group of violent criminals assassinate her employer and enter the casino shooting staff and demanding entry to the casino's safe. Modesty delays her retaliation and retribution as she protects the lives of her staff. When the criminals kill the only person who can open the safe Modesty arranges for a fellow employee to arrive who has the password for the computer that holds the details of the entry to the vault. As the criminals and their captives await the individual Modesty takes on the leader of the criminals at the game of roulette. They agree that if she wins twice in a row a captive sworn to not tell what happened is released when she loses she has to tell the truth about her background to the leader of the criminals who has become fascinated by her. She relates her life story little by little in the manner of Scheherazade. Modesty tells her life story in flashback beginning as an orphaned child in a refugee camp in the Balkans to her meeting her mentor who teaches her his knowledge of various languages and martial arts until his death in Algeria where she makes her way to Tangier and becoming a croupier. The criminals eventually enter the safe but are confronted with a revenging Modesty.	thriller	2003.0	My Name is Modesty	"{""/m/09c7w0"": ""United States of America""}"	262
The film takes place in an isolated desert compound called Clonus where clones are bred to be used as replacement parts for the elite including a soon to be presidentelect Jeffrey Knight Peter Graves . The clones are kept isolated from the real world by workers of the colony but are promised to be accepted to move to America after they have completed some type of physical training. After a group of clones is chosen to go to America they are given a party and a farewell celebration with their fellow clones. The chosen clones are then taken to a lab where they are sedated and placed in an airtight plastic bag and their bodies are frozen in order to preserve their organs for harvest. The story surrounds one clone Tim Donnelly who begins to question the circumstances of his existence and eventually escapes the colony. Pursued by compound guards the clone enters a nearby city. He is found by a retired journalist who takes him to his sponsor who happens to be the brother of Jeffrey Knight. Knight's brother Richard  and his son  argue over what to do with the clone . Richard's son returns the clone to the colony to reunite with his newly developed love interest  only to find a trap waiting for him the clone is subsequently killed and frozen. Meanwhile Knight along with hired thugs of the Clonus project arrive to interrogate Richard and his son and both are murdered as part of Clonus' coverup. Knight is seemingly killed in the ensuing struggle with his brother but reappears the next day at a press conference where he is stunned to find that the late journalist had managed to disseminate a secret tape to the news media exposing the Clonus project.	horror	1979.0	Parts: The Clonus Horror	"{""/m/09c7w0"": ""United States of America""}"	359
As part of a project are sent to a place called Littletown to investigate and research a supposedly deceased German expatriate rocket scientist named Frederick Bartholomew who it seems was supposedly responsible for the V2 rocket before embarking on a murderous rampage slaying all who he worked with in his final days spent here in America. In Honor of this achievement our project student group have got to make replicas of the rockets whilst at that location. A trio of this select members wind up stumbling across a pair of demented brothers one Mabuser is an unlicensed doctor who's become mentally unhinged due to being convince destructive parasites have infested his brain while his stuttering teenage brother Gary is a shy and lonely psychopath with a thing for Tarot cards and concealed necrophiliac tendencies. All the while their father prowls the nights' lonely highways dressed in one of his previous victims...as of all things Richard Nixon .	horror	1985.0	Horror House on Highway Five	"{""/m/09c7w0"": ""United States of America""}"	194
Three years ago a team of astronaut miners completed a daring space expedition. They embarked on their journey home but by the time the craft returned to Earth their commander had gone mad—taking a terrible secret with him to a heavily guarded state asylum for the insane. Today archeologist Lloyd Walker and entomologist Marianne Winters are among a select group of people who are questioning a possible link between the tragic space mission the mystery of the commanders madness and a series of bizarre disappearances and strange accidents in San Francisco. The answer arrives when they stumble upon an underground colony of insectlike creatures harvesting human bodies for survival. Liz now an employee of the mayors office knows all too well the secret of the aliens. She is their Earth Queen. The citys highest representatives are her consorts. With police and government officials taken over by aliens masquerading as humans Lloyd and Marianne realize they can trust no one except Phillips the one man who knows the ultimate goal of the aliens. He also holds the mysterious key to their defeat—its in his blood. He is the commander himself—the sole mission survivor being held as prisoner. Lloyd and Marianne must find him before he becomes a victim of an unearthly experiment.	horror	2006.0	Final Days of Planet Earth	"{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada""}"	266
Dr. John Beck recently married decides to take his wife Cathy spelunking in Carlsbad Cavern. While there Dr. Beck who specializes in bats is bitten by a fruit bat. He is then inexplicably transformed into a vampire bat. While he escapes and seeks help from another doctor it is clear the treatments are not working. In fact they are aggravating his condition. Dr. Beck unwittingly goes on a killing spree catching the attention of Sergeant Ward.	horror	1974.0	The Bat People	"{""/m/09c7w0"": ""United States of America""}"	104
High school student Alice convinces her lover Luc  to murder their classmate Saïd  whom she claims raped her. When they dispose of his body in the woods late one night the couple get lost on their way back to their car and are taken in by a mysterious hermit . However matters take a bizarre twist when the stranger locks the young lovers in his basement along with the dead body of Saïd and reveals that he plans to eat them. The stranger harnesses Luc and convinces for sex. He finally gives Luc an option to survive with his girlfriend  Luc finally shares bed with stranger and gets away from the forest without killing his rapist. When the couple comes out of forest they find the police near their car and the police comes to know about their murder and the strange hermit also gets arrested. Luc gets arrested as he gets caught into a bear trap and Alice tries to run away and finally she gets shot by police. In the final sequence the apprehended Luc attempts to stop the police who are beating the forester up but all in vain. He is carried to the city in the police car. That is how the movie ends.	horror	2000.0	Criminal Lovers	"{""/m/0f8l9c"": ""France""}"	235
